"What company did Worldvision sell a portion of it's catalogue to in 1990?","A portion of Worldvision's catalogue in 1990 was absorbed into what company?"
"Approximately how many gems in Reverend Chauncy Hare Townshend's collection was given to the museum?","Approximately how many gems in Reverend Chauncy Hare Townshend's finest and most comprehensive collections of jewellery was given to the museum?"
"How long would Tesla spend gambling sometimes?","How long would Tesla spend gambling sometimes without sleep or rest?"
"How many bits are often in the primes used for RSA public key cryptography algorithms?","How many bits are are typical for the primes used for RSA public key cryptography algorithms?"
"How many bits are typically used in the primes for the Diffie–Hellman key exchange?","How many bits are frequently used for the primes for the Diffie–Hellman key exchange?"
"At the time of its formation, how many members did the UMC have?","How many members did the UMC have for the first time?"
"How many households had BSkyB service in 1994?","How many new subscribers households had BSkyB service in 1994?"
"How many people attended the 2003 IPCC meeting?","How many persons are in attendance at the 2003 IPCC meeting?"
"How many plant species make up the total in the rainforest?","How many plant species make up the total in the rainforests of the Amazon?"
"How many species of insects are known in the region?","How many species of insects have been scientifically classified in the region?"
"How populous is Victoria compared to other Australian states?","How populous is Victoria state on the Australian mainland compared to other Australian states?"
"In what year did Joseph Priestley recognize oxygen?","In what year did Joseph Priestley discover oxygen independently?"
"On what date did the NFL announce that Coldplay would headline the halftime show?","On what date did the NFL confirm to the Associated Press that Coldplay would headline the halftime show?"
"Southern California had a population of 22,680,010 according to the census from which year?","Southern California had a population of 22,680,010 according to the census from which year as California's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region?"
"What percent of the labor force work in agriculture?","The agriculture sectors only employ what percent of the labour force?"
"The Art Deco period of textiles works is represented by which American artist?","The Art Deco period of numerous examples of various types of textiles works is represented by which American artist?"
"What areas did Genghis Khan control at the end of his life?","The Mongol invasions resulted in the conquest of what areas at the end of Genghis Khan's life?"
"The number of new Huguenot colonists declined after what year?","The number of new Huguenots to settle in the Cape declined after what year?"
"What actress played the last incarnation of the Doctor in the special?","What actress played the last subsequent incarnations of the Doctor in the special?"
"What is one country that has been suggested for importation of medicines?","What is one country that has been suggested for importation of medicines for personal use with a prescription?"
"What is the alpine valley that the Rhine flows through?","What is the alpine valley that the Rhine is flowing into the open through?"
"What is the average construction salary in the UK?","What is the average earning for a professional in the construction industry salary in the UK?"
"What is the upper range of annual fees for non-boarding students in British public schools?","What is the upper range of annual fees per year for non-boarding students in British public schools?"
"What kicker was successful on a 33-yard field goal?","What kicker got off to a strong start by being successful on a 33-yard field goal?"
"What Lake in a German island Mainau receives a fraction of the Rhine's flow?","What Lake in a German island Mainau receives a fraction of the Rhine's warmer, green waters flow?"
"What percent of the Muslim population lives in Kenya's Coastal Region?","What percent of the Muslim total population lives in Kenya's Coastal Region?"
"What series years are available on Blu-ray?","What series years are also available in its entirety on Blu-ray?"
"What team lost Super Bowl XXXIII?","What team lost Super Bowl XXXIII in the seasons prior?"
"what was Fresno's population in 2010?","what was Fresno's population of any race in 2010?"
"What was the percentage of Black or African-Americans living in the city?","What was the percentage of Black or African-Americans racial makeup of the city?"
"What was the percentage of Non-Hispanic Whites in 2010? ","What was the percentage of Non-Hispanic Whites in the racial makeup of Fresno in 2010? "
"What was the proportion of Huguenots to Catholics at their peak?","What was the proportion of Huguenots to Catholics when their numbers peaked?"
"When was a Doctor Who Prom performed?","When did a Doctor Who Prom took place on?"
"When did BSkyB end their analogue service?","When did BSkyB end their analogue service that started based on the idea from the then chief executive officer?"
"When did oil finally returned to its Bretton Woods levels?","When did oil finally readjust prices to reflect to its Bretton Woods levels?"
"When was the European Convention on Human Rights established?","When did the European Council set up a body called the European Convention on Human Rights?"
"When did the Pope warned Luther of excommunication? ","When was Luther warned of excommunication by Pope Leo X? "
"When was the basis for the Social Chapter developed?","When was the basis for the Social Chapter Treaty of Amsterdam covering social policy issues in European Union law developed?"
