,0,1
0,What type of competitors does the 1966 act help combat?,What kinds of competitors does the 1966 act help combat?
1,Was the landing successful?,Was the landing success?
2,Saint Helena has a high proportion of what kind of birds?,Saint Helena has a high proportion of what kinds of birds?
3,What kind of glass exists in nature?,What kind of glass exists in nature is it?
4,What was traditionally left out of the madrasah curriculum?,what was historically left out of the madrasah curriculum?
5,What market value were gold coins traded in relation to?,What was the market value from gold coins traded in relation to?
6,"In the United States, the film opened on 16 November of what year?","In the United States, the film opened on 16 November what year?"
7,What was Knorr's presidency marked by the increasing use of?,What's Knorr's presidency marked by the use of use became also greater?
8,In which ways do dialects remain undistinguished? ,In which ways do dialects remain undistinguished?
9,Who introduced the term biology to the scientific community?,Who introduced the term biology in the scientific community?
10,Which two Portuguese wines are especially enjoyed around the world?,Which two Portuguese wines are all admired extremely round the world?
11,What does using migration as population control have no effect on?,What do using migration as population control have no effect on?
12,In which year was the counteroffensive strategy first conceived?,In which year was the counteroffensive strategy for first initially conceived?
13,Who provided the contradictory population numbers for Irish abroad?,Who has provided the contradictory population numbers for Ireland abroad?
14,What gives the federal government responsibility for international defense?,What is the federal government's responsibility for international defense?
15,What did a 2031 study reveal?,What does a 2031 study reveal?
16,With what friend and former student did Whitehead not correspond regarding the goals of science?,And what friend and former student did Whitehead not correspond regarding the goals of science?
17,Who was the author of the 1943 Plan for Plymouth?,Who was the author of the 1943 Plans for Plymouth?
18,Where does the other 25 percent of fresh air go?,Where does 25 percent of fresh air other go?
19,What is another name for a fission/fusion bomb?,What's another name for a fission/fusion bomb?
20,What was the official language of the Kingdom of Pontus during the reign of Mithridates VI Eupator?,What was the official language of the Kingdom of Pontus in the reign of Mithridates VI Eupator?
21,What repaired the Conservative government's reputation?,What restored the Conservative government's reputation?
22,What county is Raleigh in?,What county is Raleigh?
23,Bell implemented Gray's design as a what?,Bell implemented Gray's design on what?
24,Who ruled the Fujiwara family in Japan?,Who has reigned the Fujiwara family in Japan?
25,What part of the Manhattan Project did Tennessee host?,What part of the Manhattan Project did Tennessee host the group this year?
26, What was the lockout chip number for South Africa?,What was the lockout chip number for South Africa?
27,What did Mildred Burke form?,What did Mildred Burke form for?
28,What is the Sangha?,What is Sangha?
29,What is the largest private foundation in America?,What is the largest private foundation of America?
30,What feature of the Xbox 360 collapsed?,What feature of the Xbox 360 collapsed is this?
31,At which two establishments was the last of these performances conducted at on 25 and 26 April 1841?,At which two establishments were the last of these performances conducted on 25 and 26 April 1841?
32,How many centralised businesses does Shell have?,How many centralised businesses do Shell have?
33,Who holds TV distribution rights to Paramount's post-1949 releases?,Who holds the tv rights to Paramount's post-1949 releases?
34,Where is the Joint Multinational Training Center located?,Where is Joint Multinational Training Center found?
35,The PV industry has seen drops in module prices since what year?,"""The PV industry has seen drops in module prices since what year?"
36,When did the BeiDou-2 system start offering services?,When did BeiDou-2 system start offering services?
37,Who signed the decree suspending the Communist Party of the Russian SFSR?,Who signed the decree suspended Communist Party of the Russian SFSR?
38,Which language is considered to be it's only Sardinian language family?,Which language is considered to be it's only Sardian language family?
39,"What spatial aspects are Canada, France, Germany, Italy, Japan, the United Kingdom and the United States a part of?","What spatial aspects are Canada, France, Germany, Italy, Japan, the United Kingdom, United Kingdom and the United States a part of?"
40,What kind of companies does Pennies search for to partner with?,What kind of companies can Pennies partner with to partner with?
41,Who were three Chicago blues players who influenced hard rock?,Who were three Chicago blues players who inspired hard rock?
42,What was Whitehead's belief about God in relation to religion?,What is Whitehead's belief about God in relation to religion?
43,In how many FIFA world cups has England appeared?,In how many FIFA world cups has England appeared since 1997?
44,Which president vetoed six bills?,Which president signed veto of six bills?
45,What is the population of near by municipalities?,What's the population in near by municipalities?
46,What position was not being contended during the Western Schism?,What position was not being contended during the Western Schism '?
47, What part of Zhejiang is not a center of aquaculture in China?,What part of Zhejiang not a center of aquaculture in China?
48,Many post modern designs feature classic elements in what way?,Many post modern designs feature traditional elements that way?
49,What year did China and Japan reach a stalemate?,What year did China and Japan reach a stalemate in?
50,How many Pulitzer Prize laureates attended the Medill School of Journalism?,How many Pulitzer Prize laureates attended Medill School of Journalism?
