,0,1
0,What type of competitors does the 1966 act help combat?,What kinds of competitors does the 1966 act help combat?
1,Was the landing successful?,Did the landing really work?
2,Saint Helena has a high proportion of what kind of birds?,Why do Saint Helena have many types of birds?
3,What kind of glass exists in nature?,What kind of glass is allowed in nature?
4,What was traditionally left out of the madrasah curriculum?,What is normally left out of the MAdrasah curriculum?
5,What market value were gold coins traded in relation to?,What market value were gold coins traded and in what quantities?
6,"In the United States, the film opened on 16 November of what year?","In the United States, the film opened on 17 November of what year?"
7,What was Knorr's presidency marked by the increasing use of?,What was Knorr's presidency marked by the increasing use of technology in life?
8,In which ways do dialects remain undistinguished? ,How do dialects are undistinguished?
9,Who introduced the term biology to the scientific community?,Who introduced biological theory to science and to science?
10,Which two Portuguese wines are especially enjoyed around the world?,Which Portuguese wine is highly popular?
11,What does using migration as population control have no effect on?,What does using migration as population control have any effect?
12,In which year was the counteroffensive strategy first conceived?,In which year was counteroffensive strategy conceived?
13,Who provided the contradictory population numbers for Irish abroad?,How did the population of Ireland's foreign countries differ from the population of Ireland's domestic countries?
14,What gives the federal government responsibility for international defense?,What is the responsibility of the federal government for international defense?
15,What did a 2031 study reveal?,What is a study done by the University of Hawaii in 2031?
16,With what friend and former student did Whitehead not correspond regarding the goals of science?,With whom did Whitehead never correspond regarding the goals of science?
17,Who was the author of the 1943 Plan for Plymouth?,"Who wrote ""the plan for Plymouth"" in 1943?"
18,Where does the other 25 percent of fresh air go?,What percentage of fresh air is used up for us?
19,What is another name for a fission/fusion bomb?,What is the other name for fission bomb?
20,What was the official language of the Kingdom of Pontus during the reign of Mithridates VI Eupator?,What was the official language of the Kingdom of Pontus?
21,What repaired the Conservative government's reputation?,What was the real damage the Conservative Government did to the Reformed Party?
22,What county is Raleigh in?,Which county is Raleigh located?
23,Bell implemented Gray's design as a what?,What design was used by Gray's design?
24,Who ruled the Fujiwara family in Japan?,What ruled the Fujiwara family as a child?
25,What part of the Manhattan Project did Tennessee host?,When did Tennessee host the Manhattan Project?
26, What was the lockout chip number for South Africa?,What was the lockout number in South Africa?
27,What did Mildred Burke form?,What did Mildred Burke do in school?
28,What is the Sangha?,What is a Sangha?
29,What is the largest private foundation in America?,Which private foundation is the biggest in America?
30,What feature of the Xbox 360 collapsed?,What can an Xbox 360 be like when it collapses?
31,At which two establishments was the last of these performances conducted at on 25 and 26 April 1841?,Where were the last of these performances performed on 25 and 26 April 1841?
32,How many centralised businesses does Shell have?,How many centralised business does Shell have?
33,Who holds TV distribution rights to Paramount's post-1949 releases?,Who holds the rights for all Hollywood movies?
34,Where is the Joint Multinational Training Center located?,What is JMU’s Joint Multinational Training Center located?
35,The PV industry has seen drops in module prices since what year?,It does not seem that the PV industry is affected by the decline in module prices but what is the price of PV modules?
36,When did the BeiDou-2 system start offering services?,How did BeiDou-2 system start trading?
37,Who signed the decree suspending the Communist Party of the Russian SFSR?,Who signed the decision suspending Communist Party of the Russian SFSR?
38,Which language is considered to be it's only Sardinian language family?,Is there a single language in the Sardinian language family?
